"","ISO","Cases_Resistance","Cases_Resilience","Cases_Reduction","Cases_R2_fit","Tests_Resistance","Tests_Resilience","Tests_Reduction","Tests_R2_fit","Deaths_Resistance","Deaths_Resilience","Deaths_Reduction","Deaths_R2_fit","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean","Stringency_Decay","Stringency_Background","Stringency_Adaptive","Population","Pop_Dens","Country_Size","Median_Age","GDP_per_Capita","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Trust","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"55","ESP",-0.000133616276221408,0.0450179497796487,0.949686259444231,0.96953706700685,NA,NA,NA,NA,-1.51351360137849e-05,0.0514036729761679,0.982929173025832,0.919272570141484,94,NA,95,58.4852884615385,78.4281428571429,52.716694214876,47.9757817460317,46754783,93.105,502172.633048708,45.5,34272.36,2.97,83.56,0.891,41,57,51,42,86,48,44
"56","EST",-3.44656282250277e-05,0.0335105738000325,0.978127734033246,0.845221815252905,-0.0646832088653337,0.0312496897561585,0.979682538563775,0.914761009202245,-1.32676084155837e-06,0.050577097871339,1,0.928896373510275,96,73,104,33.3854807692308,59.4896296296296,24.2320779220779,39.895035035035,1326539,31.033,42746.0767570006,42.7,29481.252,4.69,78.74,0.871,33.9,40,60,30,60,82,16
"57","ETH",-1.16746535291963e-05,0.0126468442504406,0.678071168862133,0.88827594273675,-0.096489529893847,0.0083817764409066,0.174836230253675,0.752084256031764,-1.60050683180255e-07,0.0122436786693332,0.606521739130435,0.903777275629503,237,271,235,61.0305787781351,69.781625,57.9999134199134,11.3240436046512,114963583,104.957,1095339.83440838,19.8,1729.927,0.3,66.6,0.463,11.9,NA,NA,NA,NA,NA,46
"58","FIN",-2.29356556316347e-05,0.0423584486258022,0.952785646836638,0.978637675905154,-0.0616006987541948,0.0334575411062815,0.974178776182078,0.9639284722177,-1.4655140362675e-06,0.069101329266064,0.995073891625616,0.986836316790403,105,77,114,38.7835483870968,49.8181481481481,34.880480349345,16.5639312806783,5540718,18.136,305509.373621526,42.8,40585.721,3.28,81.91,0.92,68.4,33,63,26,59,38,57
"59","FJI",-7.13931935514098e-07,0.0922449741760317,1,0.877069990225384,-0.0257731958762887,0.101101977305379,1,0.853995223326784,NA,NA,NA,NA,88,85,NA,55.7755271565495,88.7613888888889,51.4885559566787,60.9163888888889,896444,49.562,18087.3249667084,28.6,8702.975,2.3,67.44,0.741,NA,NA,NA,NA,NA,NA,NA
"60","FRA",-7.95618290004068e-05,0.0414080890989771,0.926073695236922,0.876528289859753,NA,NA,NA,NA,-1.17946771425444e-05,0.0425497397697208,0.990388112433106,0.975061599969208,94,NA,101,56.7407667731629,81.6747887323944,49.4254132231405,45.560205399061,65273512,122.578,532505.930917457,42,38605.671,5.98,82.66,0.901,26.3,68,71,43,86,63,48
"61","GAB",-4.58995888086954e-05,0.0273865819842233,0.945184025058731,0.905749043789772,NA,NA,NA,NA,-4.49291198205711e-07,0.0342099014944423,1,0.910680857354071,165,NA,161,60.658660130719,67.7362096774194,55.8365934065934,15.6300558312655,2225728,7.859,283207.532764983,23.1,16562.413,6.3,66.47,0.702,NA,NA,NA,NA,NA,NA,NA
"62","GBR",-6.91795027440413e-05,0.0286424868668939,0.879335309348596,0.982888040205308,-0.264115375011529,0.0422482789480643,0.980360310264779,0.972529322641806,-1.25103843201612e-05,0.0388397773531459,0.990062170308968,0.989288509556698,102,102,103,59.2193290734824,73.5044444444444,53.4540358744395,43.7071944444444,67886004,272.898,248759.624475079,40.8,39753.244,2.54,81.32,0.922,40.2,35,89,66,35,51,69
"63","GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5368690095847,NA,NA,NA,3989175,65.032,61341.7240743019,38.7,9745.079,2.6,73.77,0.78,9,NA,NA,NA,NA,38,32
"64","GHA",-2.02800217359507e-05,0.0350398907251972,0.938301383775549,0.945034001304438,-0.221503651627875,0.0307699859609091,0.894739871243204,0.96178034968827,-1.22292882119799e-07,0.0294400686213259,1,0.922259418531871,198,217,219,45.0498692810458,48.61,43.5193457943925,4.50107954545454,31072945,126.719,245211.412653193,21.1,4227.63,0.9,64.07,0.592,NA,NA,NA,NA,NA,4,72
