"","Country","Latitude","Longitude","Cases_Resilience","Deaths_Resilience"
"69","Greece",38.3391342163086,23.9391603469849,0.0422569534469588,0.0299388994208294
"70","Grenada",12.1227293014526,-61.6946029663086,NA,NA
"71","Guatemala",15.7764644622803,-90.2317352294922,0.00617199725984797,0.0144621310169311
"72","Guyana",4.875268638134,-58.9368152618408,0.0177568804692383,0.0165956886991936
"73","Honduras",14.7466068267822,-86.2600555419922,NA,0.0104673408814159
"74","Croatia",44.4837627410889,16.4590821266174,0.0751373320246162,0.055619038482015
"75","Haiti",19.0664052963257,-73.0617179870605,0.0190341067626712,0.025536978522782
"76","Hungary",47.1532459259033,19.48486328125,0.0417637737108942,0.0418677248949994
"77","Indonesia",-2.50131845474243,118.091403961182,0.00628601287587905,0.0041590312215601
"78","India",21.1222903728485,82.7542991638184,0.0126051115936559,0.013970437756054
