"ISO","Cases_Resistance_1","Cases_Resilience_1","Cases_Reduction_1","Cases_R2_fit_1","Tests_Resistance_1","Tests_Resilience_1","Tests_Reduction_1","Tests_R2_fit_1","Deaths_Resistance_1","Deaths_Resilience_1","Deaths_Reduction_1","Deaths_R2_fit_1","Cases_Resistance_2","Cases_Resilience_2","Cases_Reduction_2","Cases_R2_fit_2","Tests_Resistance_2","Tests_Resilience_2","Tests_Reduction_2","Tests_R2_fit_2","Deaths_Resistance_2","Deaths_Resilience_2","Deaths_Reduction_2","Deaths_R2_fit_2"
"COL",-0.000209583246106883,0.0132381699921567,0.371752217700343,0.984183580193769,-0.328609447011188,0.0015303129017475,0.177582151490207,0.501577783307501,-6.20562309321932e-06,0.0131934818457055,0.474410945021535,0.953059642819002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPV",-0.000174248365072627,0.010048820857667,0.388131938709973,0.948486181528948,NA,NA,NA,NA,-2.51803995769693e-06,0.0465360222863043,0.904761904761905,0.959547904862705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",-0.000234843586146678,0.00410584291726815,0.23548883241942,0.816356695431976,-0.496319083860872,0.00347546053006501,0.109173018852994,0.632360686993063,-3.55704642652285e-06,0.0107031546176276,0.428256070640177,0.952071913743851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB",-4.29077846375299e-06,0.0275481286323036,0.897942386831276,0.943577281742649,-0.0362735207684548,0.0325037388961187,0.951753982301338,0.974441327561329,-1.94232769964127e-07,0.0496057785185635,0.981818181818182,0.90454754258871,-4.95470138653946e-06,0.0169742066473712,0.340698503207413,0.803541409809247,-0.011059670781893,0.0072085142870417,0.574556757105999,0.762108484414409,-0.011059670781893,0.0346714117968131,0.88,0.862965922627428
"CYP",-2.92271140850714e-05,0.0393042851190771,0.9609375,0.935499974187706,-0.01880231413097,0.0331265590927352,0.953961996886485,0.801341574668787,-6.39343120610938e-07,0.0285826827261663,1,0.815992281997032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",-2.06443525631101e-05,0.0352568192961596,0.770037995295821,0.941084733764417,-0.064189575192523,0.0407651025967338,0.873229598548711,0.978840580186493,-7.35830912779571e-07,0.0269954665541085,0.913705583756345,0.894863816852737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",-5.52139195641838e-05,0.0437065967416285,0.926139851795488,0.989746181913784,NA,NA,NA,NA,-2.45679527265039e-06,0.0308491994946499,0.981927710843373,0.907735915217005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI",-0.000123157645429868,0.0412411357215242,0.995397764628534,0.810207176195446,NA,NA,NA,NA,-1.376515432155e-06,0.0371336391908594,1,0.874357893498499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
